Date|Category|Item|Amount|Regular ?|Remark
10/13/2015|Bill|Towngas|$41.00 |Y|
10/11/2015|Meal|Lunch|$54.00 |Y|大角咀
10/11/2015|Meal|Dinner|$491.00 |Y|mama
10/11/2015|Domestic|雜貨|$85.90 |Y|bathing soap
10/11/2015|Jinny|衫|$847.69 |Y|千色店
10/12/2015|Meal|Breakfast|$22.00 |Y|美心
10/12/2015|Meal|Lunch|$60.00 |Y|龍鳯
10/12/2015|Cook|買餸|$500.00 |Y|
10/12/2015|Cook|買餸|$79.50 |Y|蜜棗 / 椰片
10/12/2015|Transport|MTR|$26.20 |Y|來回太古
10/12/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/12/2015|Meal|Lunch|$47.00 |Y|新釗記
10/15/2015|Bill|Cellular|$216.00 |Y|Smartone
10/13/2015|Meal|Breakfast|$20.00 |Y|
10/13/2015|Meal|Lunch|$63.00 |Y|great
10/13/2015|Transport|MTR|$26.20 |Y|來回太古
10/13/2015|Meal|Breakfast|$32.00 |Y|
10/13/2015|Meal|Lunch|$48.00 |Y|
10/14/2015|Meal|Breakfast|$23.00 |Y|興濱
10/14/2015|Meal|Lunch|$22.00 |Y|麥記
10/14/2015|Transport|MTR|$26.20 |Y|來回太古
10/14/2015|Meal|Lunch|$58.00 |Y|
10/14/2015|Meal|Tea|$30.00 |Y|燒賣
10/15/2015|Transport|MTR|$26.20 |Y|來回太古
10/15/2015|Meal|Lunch|$46.00 |Y|
10/15/2015|Cook|買餸|$500.00 |Y|
10/15/2015|Meal|Breakfast|$23.00 |Y|興濱
10/15/2015|Meal|Lunch|$39.50 |Y|吉野家
10/15/2015|Cook|買餸|$75.00 |Y|魚
10/15/2015|Jinny|Books|$30.00 |N|運費
10/15/2015|Transport|電車|$4.60 |N|
10/16/2015|Transport|MTR|$26.20 |Y|來回太古
10/16/2015|Meal|Lunch|$52.00 |Y|
10/16/2015|Meal|Lunch|$63.00 |Y|
10/16/2015|Meal|Breakfast|$32.00 |Y|
10/17/2015|Meal|Lunch|$187.00 |Y|New order
10/17/2015|Misc|tissue|$4.00 |Y|seven-eleven
10/17/2015|Domestic|Ikea|$145.00 |Y|2 small boxes, 1 big box
10/17/2015|Domestic|Ikea|$1,190.00 |N|white shelf for Jinny books
10/17/2015|Drive|泊車|$20.00 |Y|megabox
10/17/2015|Cook|安記|$293.40 |Y|
10/18/2015|Meal|Lunch|$517.00 |Y|百樂門
10/18/2015|Meal|Dinner|$140.00 |Y|Pizza Hut
10/18/2015|Drive|Park|$38.50 |Y|小瀝源
10/18/2015|Jinny|奶粉|$159.00 |Y|
10/19/2015|Meal|Lunch|$58.00 |Y|
10/19/2015|Transport|MTR|$26.20 |Y|來回太古
10/19/2015|Transport|MTR|$26.20 |Y|來回金鐘
10/19/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/19/2015|Meal|Lunch|$63.00 |Y|great
10/19/2015|Cook|買餸|$100.00 |Y|
10/19/2015|Cook|Food|$12.30 |Y|麵包
10/20/2015|Transport|MTR|$26.20 |Y|來回太古
10/20/2015|Meal|Tea|$11.90 |Y|
10/20/2015|Meal|Lunch|$313.00 |Y|榮興
